,step,rollout/ep_rew_mean,train/critic_loss,train/actor_loss
0,55940,2.049999966402538e-05,482.7885437011719,-1.8539340496063232
1,83910,3.166666647302918e-05,0.05863632261753082,-1.163221001625061
2,111880,3.724999987753108e-05,0.003182324580848217,-0.9128508567810059
3,139850,4.059999992023222e-05,0.0016965260729193687,-0.8694339990615845
4,167820,4.283333328203298e-05,0.0006924279150553048,-0.8258087635040283
5,195790,4.442857243702747e-05,0.0013461124617606401,-0.7831862568855286
6,223760,4.5625001803273335e-05,0.0006399803096428514,-0.743660032749176
7,251730,4.655555676436052e-05,0.00020737301383633167,-0.7066563367843628
8,279700,4.73000000056345e-05,0.00025973079027608037,-0.6719183921813965
9,307670,4.790909224539064e-05,0.00041645794408395886,-0.6383613348007202
10,335640,4.841666668653488e-05,0.0006160563789308071,-0.6063113212585449
11,363610,4.884615555056371e-05,0.0004511273873504251,-0.5764926075935364
12,391580,4.9214286264032125e-05,0.0002622985339257866,-0.5487687587738037
13,419550,4.953333336743526e-05,0.0005891617620363832,-0.5224165320396423
14,447520,4.981250094715506e-05,0.0008611324592493474,-0.49559134244918823
15,475490,5.005882485420443e-05,0.0005325876991264522,-0.4710237979888916
16,503460,5.0277776608709246e-05,0.0004888527910225093,-0.44700032472610474
17,531430,5.047368540544994e-05,0.0005816923221573234,-0.42103931307792664
18,559400,5.065000004833564e-05,8.048149902606383e-05,-0.38006237149238586
19,587370,5.080952541902661e-05,5.7324239605804905e-05,-0.3565649390220642
20,615340,5.095454616821371e-05,0.00010156975622521713,-0.33167263865470886
21,643310,5.108695768285543e-05,6.528586527565494e-05,-0.3059147000312805
22,671280,5.120833156979643e-05,1.6330988728441298e-05,-0.2885892689228058
23,699250,5.131999932928011e-05,1.4275893590820488e-05,-0.2740900218486786
24,727220,5.1423077820800245e-05,2.4093882529996336e-05,-0.2598671317100525
25,755190,5.1518520194804296e-05,1.4776026546314824e-05,-0.24568603932857513
26,783160,5.160714135854505e-05,2.6968629640578e-07,-0.2332615852355957
27,811130,5.16896543558687e-05,2.2522230210597627e-05,-0.22155112028121948
28,839100,5.176666672923602e-05,7.196750084403902e-05,-0.21042762696743011
29,867070,5.183870962355286e-05,2.0489633243414573e-05,-0.2021687626838684
30,895040,5.1906248700106516e-05,3.719698327131482e-07,-0.19280847907066345
31,923010,5.1969698688481e-05,1.0330458280805033e-05,-0.18363673985004425
32,950980,5.2029412472620606e-05,8.633975085103884e-06,-0.17485743761062622
33,978950,5.208571383263916e-05,2.641465289343614e-05,-0.1672838181257248
34,1006920,5.213889016886242e-05,1.4966321032261476e-05,-0.16126348078250885
35,1034890,5.218918886384927e-05,5.884604433958884e-06,-0.15426889061927795
36,1062860,5.223684274824336e-05,2.4920320356613956e-05,-0.14726394414901733
37,1090830,5.228205191087909e-05,4.455971793504432e-05,-0.14206349849700928
38,1118800,5.232499825069681e-05,1.744252585922368e-05,-0.13728827238082886
39,1146770,5.236585275270045e-05,9.282203791372012e-06,-0.13085442781448364
40,1174740,5.2404760936042294e-05,2.7430899081082316e-06,-0.12485305219888687
41,1202710,5.2441861043917015e-05,1.5743484254926443e-05,-0.11828237771987915
42,1230680,5.2477273129625246e-05,1.296011578233447e-05,-0.11243044584989548
43,1258650,5.2511109970510006e-05,4.728397925646277e-06,-0.10158514976501465
44,1286620,5.25434770679567e-05,3.095294687227579e-06,-0.09458271414041519
45,1314590,5.2574469009414315e-05,8.858762157615274e-06,-0.09017474204301834
46,1342560,5.2604165830416605e-05,1.2048087228322402e-05,-0.08605601638555527
47,1370530,5.263265484245494e-05,7.109958005457884e-06,-0.08207671344280243
48,1398500,5.266000152914785e-05,5.287216936267214e-06,-0.07850350439548492
49,1426470,5.2686275012092665e-05,0.00040826204349286854,-0.07565858215093613
