,step,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss
0,3540,-0.0021860001143068075,0.3234120309352875,0.44379663467407227,-21.819869995117188,-61.75822067260742,-0.006313838064670563,0.027204742655158043,6.440818989261743e-09
1,5310,-0.0022249999456107616,0.28043419122695923,0.4303955137729645,-21.821552276611328,-59.720848083496094,-0.08658282458782196,0.04193338751792908,7.933851797758962e-09
2,7080,-0.0021909999195486307,0.3202223777770996,0.4343729019165039,-21.782976150512695,-88.30181884765625,-0.04796417057514191,0.021968651562929153,6.192767632029472e-09
3,8850,-0.002157999901100993,0.3054889738559723,0.49374014139175415,-21.733882904052734,-108.02574920654297,-0.08282575756311417,0.05348757281899452,7.3954744550519536e-09
4,10620,-0.0021089999936521053,0.318916916847229,0.457830548286438,-21.748952865600586,-130.42782592773438,-0.054803267121315,0.0245855450630188,7.713104821505112e-09
5,12390,-0.0020886666607111692,0.28201740980148315,0.4365423917770386,-21.72925567626953,-43.50254821777344,0.027491547167301178,0.041729412972927094,5.26666976696788e-09
6,14160,-0.0020674285478889942,0.31539785861968994,0.4648587703704834,-21.80113983154297,-45.730812072753906,-0.057364821434020996,0.031276885420084,4.503339479100532e-09
7,15930,-0.0020613749511539936,0.2939583659172058,0.4655819535255432,-21.880470275878906,-49.172447204589844,-0.06523828208446503,0.02899738773703575,4.554390198308056e-09
8,17700,-0.0020602222066372633,0.31422561407089233,0.46949154138565063,-21.926773071289062,-37.09074783325195,-0.0424719974398613,0.04282355681061745,4.763740069080313e-09
9,19470,-0.002042700070887804,0.2996489107608795,0.4377853274345398,-21.924558639526367,-51.66386795043945,0.07968960702419281,0.027831586077809334,5.1341135787197345e-09
10,21240,-0.002050363691523671,0.28661689162254333,0.43322035670280457,-21.93680763244629,-58.70399475097656,-0.09617723524570465,0.023643501102924347,5.242582812314822e-09
11,23010,-0.0020635833498090506,0.3227269947528839,0.45520907640457153,-21.932180404663086,-54.703338623046875,-0.052291616797447205,0.13640901446342468,5.54217782777755e-09
12,24780,-0.0020439999643713236,0.2906463146209717,0.4319322407245636,-21.969383239746094,-30.56551170349121,-0.08723186701536179,0.03313023969531059,4.524943975070528e-09
13,26550,-0.0020389999262988567,0.3320338726043701,0.4413107633590698,-21.963367462158203,-38.29365921020508,-0.06111045554280281,0.20436613261699677,4.888164095717684e-09
14,28320,-0.0020502666011452675,0.2935878038406372,0.4581243097782135,-21.98395347595215,-45.908084869384766,-0.0619191937148571,0.07601270079612732,4.696183442121082e-09
15,30090,-0.0020418125204741955,0.29886332154273987,0.429333359003067,-22.013368606567383,-60.53333282470703,0.132470041513443,0.02511320635676384,5.398680169577119e-09
16,31860,-0.002053529489785433,0.28935790061950684,0.4264633059501648,-22.02796173095703,-63.963050842285156,0.0019852817058563232,0.024003662168979645,5.324503504766653e-09
17,33630,-0.0020488332957029343,0.310514897108078,0.4133559465408325,-22.071504592895508,-51.76912307739258,-0.0911160558462143,0.03819328919053078,5.446457507218838e-09
18,35400,-0.0020426842384040356,0.25855034589767456,0.42406782507896423,-22.055505752563477,-29.118648529052734,-0.08302320539951324,0.029260845854878426,5.942667247182953e-09
19,37170,-0.002036950085312128,0.34601062536239624,0.4223276972770691,-22.067859649658203,-60.4516716003418,-0.02283152937889099,0.029574409127235413,5.637085020993027e-09
20,38940,-0.002048714319244027,0.29392364621162415,0.3927457928657532,-22.036983489990234,-41.76360321044922,0.1165488213300705,0.09997367113828659,5.134468405998405e-09
21,40710,-0.0020368180703371763,0.3244915008544922,0.40022602677345276,-22.02724266052246,-22.987943649291992,-0.07395654171705246,0.020534195005893707,5.173280026582461e-09
22,42480,-0.0020401303190737963,0.26127782464027405,0.4198192358016968,-22.035015106201172,-23.453771591186523,-0.09456555545330048,0.020421933382749557,4.9973896132371465e-09
23,44250,-0.002042208332568407,0.27644872665405273,0.3960678279399872,-22.077529907226562,-47.669673919677734,-0.06440826505422592,0.053267475217580795,5.667143643250938e-09
24,46020,-0.002047999994829297,0.31795069575309753,0.3849491775035858,-22.066682815551758,-59.29572296142578,-0.0854690745472908,0.030683156102895737,5.049765494646863e-09
25,47790,-0.0020453461911529303,0.25711309909820557,0.39025992155075073,-22.10820198059082,-32.098052978515625,-0.08464497327804565,0.051124367862939835,5.073808040378935e-09
26,49560,-0.0020431852899491787,0.3584640920162201,0.3665536940097809,-22.1644287109375,-49.51044464111328,-0.07156503200531006,0.28939369320869446,4.513093898594889e-09
27,51330,-0.0020402499940246344,0.309109628200531,0.371344655752182,-22.22967529296875,-43.9375114440918,0.04178449511528015,0.022501450031995773,4.781497420225378e-09
28,53100,-0.0020475173369050026,0.2733966112136841,0.3476158380508423,-22.272459030151367,-29.070247650146484,-0.0602404847741127,0.03731098398566246,5.103081957003042e-09
