coin,crash_seed_index,start,end,close_mu,close_sigma,close_nu,close_tau,low_mu,low_sigma,low_nu,low_tau,high_mu,high_sigma,high_nu,high_tau,open_mu,open_sigma,open_nu,open_tau,epsilon
"BTC",34,38483,40883,1,1,1,2.7,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.7,0.1
"ETH",30,39152,41552,1,1,1,3,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,3,0.1
"BNB",48,30733,33133,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.1
"XRP",45,38481,40881,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.1
"ADA",54,29809,32209,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"DOT",61,6457,8857,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"LTC",63,39103,41503,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"LINK",47,20255,22655,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"XLM",53,39254,41654,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"BCH",72,30994,33394,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"TRX",80,25428,27828,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
"DOGE",71,22420,24820,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.08
