coin,crash_seed_index,start,end,close_mu,close_sigma,close_nu,close_tau,low_mu,low_sigma,low_nu,low_tau,high_mu,high_sigma,high_nu,high_tau,open_mu,open_sigma,open_nu,open_tau,epsilon
"BTC",84,9366,18066,2,1.6,1,3.5,2.5,2,10,2.3,2.5,2,10,2.5,2,1.5,1,3.5,0.04
"ETH",37,9366,18066,1,1.2,0.97,3,2.5,2,10,2.3,2.5,2,10,2.5,1,1.2,0.97,3,0.05
"XRP",89,9366,18066,1,1,1.05,2.4,2.5,2,10,2.2,2.5,2,10,2.2,1,1,1.05,2.4,0.04
"BCH",90,1208,9908,1,1,1,2.4,2.5,2,10,2.2,2.5,2,10,2.2,1,1,1,2.3,0.04
"ADA",91,0,8700,1,1.1,1,2.4,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1.1,1,2.4,0.04
"NEO",92,656,9356,1,1,1,2.6,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1,1,2.6,0.04
"XLM",93,9366,18066,1,1.05,1.02,2.6,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1.05,1,2.6,0.06
"LTC",9,9366,18066,1,1,1,2.6,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1,1,2.6,0.04
"EOS",94,1188,9888,1,1,1,2.4,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1,1,2.4,0.05
"MIOTA",58,0,8700,1,1.1,1,2.3,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1.1,1,2.3,0.04
"DASH",36,9366,18066,1,1,1,2.7,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1,1,2.7,0.06
"XMR",44,9366,18066,1,1,1,2.7,2.5,2.5,10,2.2,2.5,2.5,10,2.2,1,1,1,2.7,0.06
