coin,crash_seed_index,start,end,close_mu,close_sigma,close_nu,close_tau,low_mu,low_sigma,low_nu,low_tau,high_mu,high_sigma,high_nu,high_tau,open_mu,open_sigma,open_nu,open_tau,epsilon
"BTC",9,43531,50581,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.05
"ETH",36,43531,50581,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"BNB",42,35157,42207,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.03
"SOL",33,10949,17999,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"XRP",68,43531,50581,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.03
"ADA",27,34087,41137,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"DOT",55,10764,17814,1,1,0.96,3.3,2.5,1,10,2.1,2.5,1,10,2.1,1,1,0.96,3.3,0.04
"DOGE",58,26894,33944,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"SHIB",39,4981,12031,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"AVAX",52,9941,16991,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"CRO",82,17126,24176,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.04
"LTC",26,43531,50581,1,1,1,2.8,2.5,1,10,2.1,2.5,1,10,2.1,1,1,1,2.8,0.03
